trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
192,False,"{'a': 0.2, 'e': 0.23199999999999932}",20,9,6.311131061766632,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.2, 'e': 0.22799999999999931}",25,3,16.14889317463986,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.2, 'e': 0.2239999999999993}",20,9,-3.4744657740259655,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
195,False,"{'a': 0.2, 'e': 0.2199999999999993}",20,12,13.060363037160249,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.2, 'e': 0.2159999999999993}",25,14,4.468268555105521,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.2, 'e': 0.2119999999999993}",20,10,6.691004826932859,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.2, 'e': 0.2079999999999993}",30,13,10.354182739356355,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.2, 'e': 0.2039999999999993}",30,8,25.512588878898065,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.2, 'e': 0.1999999999999993}",20,6,2.8460126040699905,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
201,False,"{'a': 0.2, 'e': 0.19599999999999929}",20,0,24.462373306516685,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
202,False,"{'a': 0.2, 'e': 0.19199999999999928}",30,19,21.854630161819284,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.2, 'e': 0.18799999999999928}",25,13,23.032394864022745,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.2, 'e': 0.18399999999999928}",30,5,-59.507560742296675,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",1
205,False,"{'a': 0.2, 'e': 0.17999999999999927}",25,14,0.768454212503165,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.2, 'e': 0.17599999999999927}",20,3,12.114322225727406,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.2, 'e': 0.17199999999999926}",25,11,20.733065888953146,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.2, 'e': 0.16799999999999926}",25,4,20.632926380338986,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.2, 'e': 0.16399999999999926}",20,9,-3.42592095551311,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
210,False,"{'a': 0.2, 'e': 0.15999999999999925}",30,9,37.543017049220815,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.2, 'e': 0.15599999999999925}",25,15,24.454584394242218,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.2, 'e': 0.15199999999999925}",30,23,12.763354842561908,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.2, 'e': 0.14799999999999924}",25,8,17.518076960894614,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.2, 'e': 0.14399999999999924}",25,10,-39.75434751723121,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
215,False,"{'a': 0.2, 'e': 0.13999999999999924}",20,15,-2.6842786118465956,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.2, 'e': 0.13599999999999923}",25,11,-9.200312609286026,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
217,False,"{'a': 0.2, 'e': 0.13199999999999923}",30,17,-19.125536190152182,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
218,False,"{'a': 0.2, 'e': 0.12799999999999923}",30,15,15.501525850077122,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.2, 'e': 0.12399999999999922}",25,16,4.9438033026205055,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.2, 'e': 0.11999999999999922}",20,12,-16.365172462906038,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
221,False,"{'a': 0.2, 'e': 0.11599999999999921}",20,0,30.458616497550516,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
222,False,"{'a': 0.2, 'e': 0.11199999999999921}",20,15,9.093163829412916,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.2, 'e': 0.10799999999999921}",30,12,37.5356786121218,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.2, 'e': 0.1039999999999992}",30,14,-13.396263323726641,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
225,False,"{'a': 0.2, 'e': 0.0999999999999992}",35,15,24.10932068833448,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.2, 'e': 0.0959999999999992}",30,15,11.91653909907994,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
227,False,"{'a': 0.2, 'e': 0.0919999999999992}",20,12,14.608757883605284,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.2, 'e': 0.08799999999999919}",30,21,17.263193239060424,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.2, 'e': 0.08399999999999919}",25,20,10.802070427056055,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.2, 'e': 0.07999999999999918}",20,11,14.891147579479895,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.2, 'e': 0.07599999999999918}",20,13,12.154730835835618,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.2, 'e': 0.07199999999999918}",20,15,9.747911735084411,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.2, 'e': 0.06799999999999917}",30,14,32.57551964249921,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.2, 'e': 0.06399999999999917}",25,19,12.369036274788293,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.2, 'e': 0.059999999999999165}",20,12,15.847636848847031,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.2, 'e': 0.05599999999999916}",25,11,27.483347941499474,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.2, 'e': 0.05199999999999916}",30,21,7.575499290354726,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.2, 'e': 0.047999999999999154}",25,17,15.941741302268017,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.2, 'e': 0.04399999999999915}",20,13,14.93513192890769,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.2, 'e': 0.03999999999999915}",30,15,23.071004772604944,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.2, 'e': 0.035999999999999144}",30,10,37.69493826151459,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.2, 'e': 0.03199999999999914}",30,16,27.642215668594694,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.2, 'e': 0.02799999999999914}",20,8,22.4036584658487,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.2, 'e': 0.02399999999999914}",20,1,30.277496902665234,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.2, 'e': 0.01999999999999914}",30,18,24.77723753286526,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.2, 'e': 0.01599999999999914}",25,8,33.37566123324772,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.2, 'e': 0.01199999999999914}",25,16,16.200257741990885,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.2, 'e': 0.00799999999999914}",20,9,19.63537416983467,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.2, 'e': 0.00399999999999914}",25,20,8.428110699516772,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,13.316561485337196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,12,20.023663526640817,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,20,8.556671374541278,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,24,13.467122141045524,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,12,21.25194876513831,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,28.977238019201526,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,23.569197409382344,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
